;$FILEVERSION=1.1
;$STARTTIME=44475.4114990394
;
;   C:\Users\uukucp\Desktop\log_reset_hmi\su12_resetr.trc
;
;   Start time: 06.10.2021 09:52:33.517.0
;   Generated by PCAN-View v4.2.5.569
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   536)      2276.1  Rx         0286  8  85 00 00 00 00 00 00 00 
   537)      2277.7  Rx         0763  1  05 
   538)      2302.9  Rx         0701  0  RTR
   539)      2303.1  Rx         0701  1  05 
   540)      2303.3  Rx         0741  0  RTR
   541)      2303.5  Rx         0764  0  RTR
   542)      2305.2  Rx         0741  1  85 
   543)      2308.9  Rx         0764  1  05 
   544)      2323.2  Rx         0300  8  46 80 00 00 00 00 00 00 
   545)      2333.0  Rx         0287  8  86 00 00 00 00 00 00 00 
   546)      2333.2  Rx         0702  0  RTR
   547)      2333.4  Rx         0742  0  RTR
   548)      2333.6  Rx         0702  1  85 
   549)      2333.8  Rx         0765  0  RTR
   550)      2335.7  Rx         0742  1  85 
   551)      2340.1  Rx         0765  1  05 
   552)      2362.9  Rx         0703  0  RTR
   553)      2363.1  Rx         0743  0  RTR
   554)      2363.3  Rx         0703  1  85 
   555)      2363.5  Rx         0766  0  RTR
   556)      2372.1  Rx         0766  1  05 
   557)      2373.2  Rx         0300  8  47 80 00 00 00 00 00 00 
   558)      2381.5  Rx         0288  8  87 00 00 00 00 00 00 00 
   559)      2392.9  Rx         0704  0  RTR
   560)      2393.1  Rx         0704  1  85 
   561)      2393.3  Rx         0744  0  RTR
   562)      2393.5  Rx         0767  0  RTR
   563)      2398.0  Rx         0744  1  05 
   564)      2398.2  Rx         0767  1  05 
   565)      2422.9  Rx         0705  0  RTR
   566)      2423.0  Rx         0745  0  RTR
   567)      2423.3  Rx         0705  1  85 
   568)      2423.5  Rx         0768  0  RTR
   569)      2424.0  Rx         0300  8  48 80 00 00 00 00 00 00 
   570)      2426.6  Rx         0289  8  88 00 00 00 00 00 00 00 
   571)      2428.2  Rx         0745  1  85 
   572)      2428.5  Rx         0768  1  05 
   573)      2452.9  Rx         0706  0  RTR
   574)      2453.1  Rx         0706  1  05 
   575)      2453.3  Rx         0746  0  RTR
   576)      2453.5  Rx         0769  0  RTR
   577)      2456.6  Rx         0746  1  05 
   578)      2457.0  Rx         0769  1  05 
   579)      2473.2  Rx         0300  8  49 80 00 00 00 00 00 00 
   580)      2478.9  Rx         028A  8  89 00 00 00 00 00 00 00 
   581)      2482.9  Rx         0707  0  RTR
   582)      2483.1  Rx         0707  1  05 
   583)      2483.3  Rx         0747  0  RTR
   584)      2483.5  Rx         076A  0  RTR
   585)      2485.2  Rx         076A  1  05 
   586)      2485.4  Rx         0747  1  85 
   587)      2512.9  Rx         0708  0  RTR
   588)      2513.1  Rx         0708  1  05 
   589)      2513.3  Rx         0748  0  RTR
   590)      2513.5  Rx         076B  0  RTR
   591)      2514.2  Rx         0748  1  85 
   592)      2519.4  Rx         076B  1  05 
   593)      2523.2  Rx         0300  8  4A 80 00 00 00 00 00 00 
   594)      2528.4  Rx         028B  8  8A 00 00 00 00 00 00 00 
   595)      2542.8  Rx         0709  0  RTR
   596)      2543.1  Rx         0709  1  05 
   597)      2543.3  Rx         0749  0  RTR
   598)      2543.5  Rx         076C  0  RTR
   599)      2548.0  Rx         0749  1  05 
   600)      2552.5  Rx         076C  1  05 
   601)      2572.9  Rx         070A  0  RTR
   602)      2573.1  Rx         074A  0  RTR
   603)      2573.3  Rx         076D  0  RTR
   604)      2573.7  Rx         0300  8  4B 80 00 00 00 00 00 00 
   605)      2574.0  Rx         070A  1  85 
   606)      2577.3  Rx         074A  1  85 
   607)      2578.9  Rx         028C  8  8B 00 00 00 00 00 00 00 
   608)      2579.5  Rx         076D  1  05 
   609)      2602.9  Rx         070B  0  RTR
   610)      2603.1  Rx         070B  1  85 
   611)      2603.3  Rx         074B  0  RTR
   612)      2603.5  Rx         076E  0  RTR
   613)      2606.8  Rx         074B  1  05 
   614)      2612.8  Rx         076E  1  05 
   615)      2623.2  Rx         0300  8  4C 80 00 00 00 00 00 00 
   616)      2632.4  Rx         028D  8  8C 00 00 00 00 00 00 00 
   617)      2632.9  Rx         070C  0  RTR
   618)      2633.0  Rx         074C  0  RTR
   619)      2633.3  Rx         076F  0  RTR
   620)      2633.5  Rx         070C  1  85 
   621)      2636.2  Rx         074C  1  05 
   622)      2638.8  Rx         076F  1  05 
   623)      2662.9  Rx         070D  0  RTR
   624)      2663.1  Rx         070D  1  85 
   625)      2663.3  Rx         074D  0  RTR
   626)      2663.5  Rx         0770  0  RTR
   627)      2664.2  Rx         074D  1  05 
   628)      2668.5  Rx         0770  1  05 
   629)      2673.2  Rx         0300  8  4D 80 00 00 00 00 00 00 
   630)      2681.1  Rx         028E  8  8D 00 00 00 00 00 00 00 
   631)      2692.9  Rx         070E  0  RTR
   632)      2693.1  Rx         070E  1  05 
   633)      2693.3  Rx         074E  0  RTR
   634)      2693.5  Rx         0771  0  RTR
   635)      2694.1  Rx         074E  1  85 
   636)      2702.9  Rx         0771  1  05 
   637)      2722.9  Rx         070F  0  RTR
   638)      2723.1  Rx         074F  0  RTR
   639)      2723.3  Rx         070F  1  05 
   640)      2723.5  Rx         0772  0  RTR
   641)      2724.0  Rx         0300  8  4E 80 00 00 00 00 00 00 
   642)      2726.1  Rx         074F  1  05 
   643)      2726.6  Rx         0772  1  05 
   644)      2730.1  Rx         028F  8  8E 00 00 00 00 00 00 00 
   645)      2752.9  Rx         0710  0  RTR
   646)      2753.1  Rx         0710  1  05 
   647)      2753.3  Rx         0750  0  RTR
   648)      2753.5  Rx         0773  0  RTR
   649)      2755.2  Rx         0750  1  85 
   650)      2763.1  Rx         0773  1  05 
   651)      2773.2  Rx         0300  8  4F 80 00 00 00 00 00 00 
   652)      2779.8  Rx         0290  8  8F 00 00 00 00 00 00 00 
   653)      2782.9  Rx         0711  0  RTR
   654)      2783.1  Rx         0711  1  05 
   655)      2783.3  Rx         0751  0  RTR
   656)      2783.5  Rx         0774  0  RTR
   657)      2783.7  Rx         0751  1  05 
   658)      2790.4  Rx         0774  1  05 
   659)      2812.9  Rx         0712  0  RTR
   660)      2813.1  Rx         0712  1  85 
   661)      2813.3  Rx         0752  0  RTR
   662)      2823.2  Rx         0300  8  50 80 00 00 00 00 00 00 
   663)      2829.2  Rx         0291  8  90 00 00 00 00 00 00 00 
   664)      2842.9  Rx         0713  0  RTR
   665)      2843.1  Rx         0753  0  RTR
   666)      2843.3  Rx         0713  1  85 
   667)      2843.5  Rx         0761  0  RTR
   668)      2846.1  Rx         0753  1  05 
   669)      2851.1  Rx         0761  1  85 
   670)      2872.9  Rx         0714  0  RTR
   671)      2873.2  Rx         01D4  4  33 01 04 02 
   672)      2873.5  Rx         0714  1  85 
   673)      2873.6  Rx         0762  0  RTR
   674)      2874.1  Rx         0300  8  51 80 00 00 00 00 00 00 
   675)      2874.5  Rx         0260  4  1F CA 01 00 
   676)      2878.2  Rx         0762  1  85 
   677)      2882.1  Rx         0292  8  91 00 00 00 00 00 00 00 
   678)      2902.9  Rx         0701  0  RTR
   679)      2903.1  Rx         0701  1  85 
   680)      2903.4  Rx         0741  0  RTR
   681)      2903.5  Rx         0763  0  RTR
   682)      2905.2  Rx         0741  1  05 
   683)      2907.7  Rx         0763  1  85 
   684)      2923.2  Rx         0300  8  52 80 00 00 00 00 00 00 
   685)      2927.8  Rx         0293  8  92 00 00 00 00 00 00 00 
   686)      2932.9  Rx         0702  0  RTR
   687)      2933.1  Rx         0702  1  05 
   688)      2933.3  Rx         0742  0  RTR
   689)      2933.5  Rx         0764  0  RTR
   690)      2935.8  Rx         0742  1  05 
   691)      2938.9  Rx         0764  1  85 
   692)      2962.9  Rx         0703  0  RTR
   693)      2963.1  Rx         0743  0  RTR
   694)      2963.3  Rx         0765  0  RTR
   695)      2963.9  Rx         0703  1  05 
   696)      2965.2  Rx         0743  1  05 
   697)      2970.2  Rx         0765  1  85 
   698)      2973.2  Rx         0300  8  53 80 00 00 00 00 00 00 
   699)      2979.7  Rx         0294  8  93 00 00 00 00 00 00 00 
   700)      2992.9  Rx         0704  0  RTR
   701)      2993.2  Rx         0704  1  05 
   702)      2993.3  Rx         0744  0  RTR
   703)      2993.5  Rx         0766  0  RTR
   704)      2998.0  Rx         0744  1  85 
   705)      3002.1  Rx         0766  1  85 
   706)      3022.9  Rx         0705  0  RTR
   707)      3023.1  Rx         0745  0  RTR
   708)      3023.3  Rx         0767  0  RTR
   709)      3023.8  Rx         0300  8  40 80 00 00 00 00 00 00 
   710)      3024.1  Rx         0705  1  05 
   711)      3027.3  Rx         0281  8  80 00 00 00 00 00 00 00 
   712)      3028.1  Rx         0767  1  85 
   713)      3028.4  Rx         0745  1  05 
   714)      3052.9  Rx         0706  0  RTR
   715)      3053.1  Rx         0706  1  85 
   716)      3053.3  Rx         0746  0  RTR
   717)      3053.5  Rx         0768  0  RTR
   718)      3055.6  Rx         0260  4  0E 23 66 10 
   719)      3056.6  Rx         0746  1  85 
   720)      3057.1  Rx         034F  8  2E 25 66 10 00 00 00 00 
   721)      3058.5  Rx         0768  1  85 
   722)      3073.2  Rx         0300  8  41 80 00 00 00 00 00 00 
   723)      3082.9  Rx         0707  0  RTR
   724)      3083.1  Rx         0707  1  85 
   725)      3083.4  Rx         0747  0  RTR
   726)      3083.8  Rx         0282  8  81 00 00 00 00 00 00 00 
   727)      3084.0  Rx         0769  0  RTR
   728)      3085.3  Rx         0747  1  05 
   729)      3087.1  Rx         0769  1  85 
   730)      3112.9  Rx         0708  0  RTR
   731)      3113.1  Rx         0708  1  85 
   732)      3113.3  Rx         0748  0  RTR
   733)      3113.5  Rx         076A  0  RTR
   734)      3114.2  Rx         0748  1  05 
   735)      3115.2  Rx         076A  1  85 
   736)      3123.0  Rx         0000  2  81 54 
   737)      3123.5  Rx         0300  8  42 80 00 00 00 00 00 00 
   738)      3134.2  Rx         0283  8  82 00 00 00 00 00 00 00 
   739)      3142.9  Rx         0709  0  RTR
   740)      3143.2  Rx         0709  1  85 
   741)      3143.3  Rx         0749  0  RTR
   742)      3143.5  Rx         076B  0  RTR
   743)      3148.0  Rx         0749  1  85 
   744)      3149.4  Rx         076B  1  85 
   745)      3172.9  Rx         070A  0  RTR
   746)      3173.1  Rx         074A  0  RTR
   747)      3173.3  Rx         070A  1  05 
   748)      3173.5  Rx         076C  0  RTR
   749)      3174.0  Rx         0300  8  43 80 00 00 00 00 00 00 
   750)      3177.3  Rx         074A  1  05 
   751)      3179.7  Rx         0284  8  83 00 00 00 00 00 00 00 
   752)      3182.6  Rx         076C  1  85 
   753)      3202.9  Rx         070B  0  RTR
   754)      3203.2  Rx         070B  1  05 
   755)      3203.3  Rx         074B  0  RTR
   756)      3203.5  Rx         076D  0  RTR
   757)      3206.8  Rx         074B  1  85 
   758)      3209.6  Rx         076D  1  85 
   759)      3216.7  Rx         01F2  4  11 58 05 00 
   760)      3223.2  Rx         0300  8  44 80 00 00 00 00 00 00 
   761)      3230.8  Rx         0285  8  84 00 00 00 00 00 00 00 
   762)      3232.9  Rx         070C  0  RTR
   763)      3233.2  Rx         070C  1  05 
   764)      3233.3  Rx         074C  0  RTR
   765)      3233.5  Rx         076E  0  RTR
   766)      3236.2  Rx         074C  1  85 
   767)      3242.8  Rx         076E  1  85 
   768)      3262.9  Rx         070D  0  RTR
   769)      3263.1  Rx         070D  1  05 
   770)      3263.4  Rx         074D  0  RTR
   771)      3263.5  Rx         076F  0  RTR
   772)      3264.2  Rx         074D  1  85 
   773)      3268.8  Rx         076F  1  85 
   774)      3273.2  Rx         0300  8  45 80 00 00 00 00 00 00 
   775)      3276.2  Rx         0286  8  85 00 00 00 00 00 00 00 
   776)      3292.9  Rx         070E  0  RTR
   777)      3293.1  Rx         070E  1  85 
   778)      3293.3  Rx         074E  0  RTR
   779)      3293.5  Rx         0770  0  RTR
   780)      3294.1  Rx         074E  1  05 
   781)      3298.6  Rx         0770  1  85 
   782)      3322.9  Rx         070F  0  RTR
   783)      3323.1  Rx         074F  0  RTR
   784)      3323.3  Rx         0771  0  RTR
   785)      3323.8  Rx         0300  8  46 80 00 00 00 00 00 00 
   786)      3324.0  Rx         070F  1  85 
   787)      3326.2  Rx         074F  1  85 
   788)      3333.0  Rx         0287  8  86 00 00 00 00 00 00 00 
   789)      3333.2  Rx         0771  1  85 
   790)      3352.9  Rx         0710  0  RTR
   791)      3353.1  Rx         0750  0  RTR
   792)      3353.3  Rx         0772  0  RTR
   793)      3353.6  Rx         0710  1  85 
   794)      3355.2  Rx         0750  1  05 
   795)      3356.7  Rx         0772  1  85 
   796)      3373.2  Rx         0300  8  47 80 00 00 00 00 00 00 
   797)      3381.5  Rx         0288  8  87 00 00 00 00 00 00 00 
   798)      3382.9  Rx         0711  0  RTR
   799)      3383.2  Rx         0711  1  85 
   800)      3383.3  Rx         0751  0  RTR
   801)      3383.5  Rx         0773  0  RTR
   802)      3383.8  Rx         0751  1  85 
   803)      3393.1  Rx         0773  1  85 
   804)      3412.9  Rx         0712  0  RTR
   805)      3413.1  Rx         0752  0  RTR
   806)      3413.3  Rx         0774  0  RTR
   807)      3413.5  Rx         0712  1  05 
   808)      3417.7  Rx         0752  1  85 
   809)      3420.5  Rx         0774  1  85 
   810)      3423.2  Rx         0300  8  48 80 00 00 00 00 00 00 
   811)      3426.6  Rx         0289  8  88 00 00 00 00 00 00 00 
   812)      3442.9  Rx         0713  0  RTR
   813)      3443.2  Rx         0713  1  05 
   814)      3443.4  Rx         0753  0  RTR
   815)      3446.1  Rx         0753  1  85 
   816)      3472.9  Rx         0714  0  RTR
   817)      3473.2  Rx         0714  1  05 
   818)      3473.4  Rx         0761  0  RTR
   819)      3473.9  Rx         0300  8  49 80 00 00 00 00 00 00 
   820)      3479.5  Rx         028A  8  89 00 00 00 00 00 00 00 
   821)      3481.4  Rx         0761  1  05 
   822)      3502.9  Rx         0701  0  RTR
   823)      3503.2  Rx         0701  1  05 
   824)      3503.4  Rx         0741  0  RTR
   825)      3503.6  Rx         0762  0  RTR
   826)      3505.2  Rx         0741  1  85 
   827)      3508.2  Rx         0762  1  05 
   828)      3523.2  Rx         0300  8  4A 80 00 00 00 00 00 00 
   829)      3528.4  Rx         028B  8  8A 00 00 00 00 00 00 00 
   830)      3532.9  Rx         0702  0  RTR
   831)      3533.2  Rx         0702  1  85 
   832)      3533.3  Rx         0742  0  RTR
   833)      3533.6  Rx         0763  0  RTR
   834)      3535.7  Rx         0742  1  85 
   835)      3537.7  Rx         0763  1  05 
   836)      3562.9  Rx         0703  0  RTR
   837)      3563.1  Rx         0743  0  RTR
   838)      3563.3  Rx         0764  0  RTR
   839)      3563.7  Rx         0703  1  85 
   840)      3565.2  Rx         0743  1  85 
   841)      3569.0  Rx         0764  1  05 
   842)      3573.2  Rx         0300  8  4B 80 00 00 00 00 00 00 
   843)      3578.9  Rx         028C  8  8B 00 00 00 00 00 00 00 
   844)      3592.9  Rx         0704  0  RTR
   845)      3593.2  Rx         0704  1  85 
   846)      3593.4  Rx         0744  0  RTR
   847)      3593.5  Rx         0765  0  RTR
   848)      3598.0  Rx         0744  1  05 
   849)      3600.2  Rx         0765  1  05 
   850)      3622.9  Rx         0705  0  RTR
   851)      3623.1  Rx         0745  0  RTR
   852)      3623.4  Rx         0705  1  85 
   853)      3623.5  Rx         0766  0  RTR
   854)      3624.0  Rx         0300  8  4C 80 00 00 00 00 00 00 
   855)      3628.2  Rx         0745  1  85 
   856)      3632.1  Rx         0766  1  05 
   857)      3632.6  Rx         028D  8  8C 00 00 00 00 00 00 00 
   858)      3652.9  Rx         0706  0  RTR
   859)      3653.2  Rx         0706  1  05 
   860)      3653.4  Rx         0746  0  RTR
   861)      3653.5  Rx         0767  0  RTR
   862)      3656.6  Rx         0746  1  05 
   863)      3658.2  Rx         0767  1  05 
   864)      3673.2  Rx         0300  8  4D 80 00 00 00 00 00 00 
   865)      3681.0  Rx         028E  8  8D 00 00 00 00 00 00 00 
   866)      3682.9  Rx         0707  0  RTR
   867)      3683.2  Rx         0707  1  05 
   868)      3683.4  Rx         0747  0  RTR
   869)      3683.6  Rx         0768  0  RTR
   870)      3685.3  Rx         0747  1  85 
   871)      3688.5  Rx         0768  1  05 
   872)      3712.9  Rx         0708  0  RTR
   873)      3713.2  Rx         0708  1  05 
   874)      3713.3  Rx         0748  0  RTR
   875)      3713.6  Rx         0769  0  RTR
   876)      3717.1  Rx         0769  1  05 
   877)      3723.2  Rx         0300  8  4E 80 00 00 00 00 00 00 
   878)      3730.1  Rx         028F  8  8E 00 00 00 00 00 00 00 
   879)      3742.9  Rx         0709  0  RTR
   880)      3743.2  Rx         0709  1  05 
   881)      3743.3  Rx         0749  0  RTR
   882)      3743.6  Rx         076A  0  RTR
   883)      3745.2  Rx         076A  1  05 
   884)      3748.0  Rx         0749  1  05 
   885)      3773.0  Rx         070A  0  RTR
   886)      3773.1  Rx         074A  0  RTR
   887)      3773.4  Rx         070A  1  85 
   888)      3773.5  Rx         076B  0  RTR
   889)      3774.1  Rx         0300  8  4F 80 00 00 00 00 00 00 
   890)      3777.3  Rx         074A  1  85 
   891)      3779.4  Rx         076B  1  05 
   892)      3779.9  Rx         0290  8  8F 00 00 00 00 00 00 00 
   893)      3802.9  Rx         070B  0  RTR
   894)      3803.2  Rx         070B  1  85 
   895)      3803.3  Rx         074B  0  RTR
   896)      3803.5  Rx         076C  0  RTR
   897)      3806.8  Rx         074B  1  05 
   898)      3812.5  Rx         076C  1  05 
   899)      3823.3  Rx         0300  8  50 80 00 00 00 00 00 00 
